Fly,Light,Value,Genotype
0,On,0.267244393,OK371 KCR1OPT
0,Off,2.096622296,OK371 KCR1OPT
1,On,0.098999814,OK371 KCR1OPT
1,Off,0.072713282,OK371 KCR1OPT
2,On,0.077071547,OK371 KCR1OPT
2,Off,0.287395298,OK371 KCR1OPT
3,On,0.167817102,OK371 KCR1OPT
3,Off,1.250831322,OK371 KCR1OPT
4,On,0.197586552,OK371 KCR1OPT
4,Off,2.658169203,OK371 KCR1OPT
5,On,0.119457858,OK371 KCR1OPT
5,Off,1.612470905,OK371 KCR1OPT
6,On,0.099723778,OK371 KCR1OPT
6,Off,0.10314788,OK371 KCR1OPT
7,On,0.101617169,OK371 KCR1OPT
7,Off,2.891590335,OK371 KCR1OPT
8,On,0.316637222,OK371 KCR1OPT
8,Off,0.128900274,OK371 KCR1OPT
9,On,0.140357514,OK371 KCR1OPT
9,Off,0.808108789,OK371 KCR1OPT
10,On,0.144763826,OK371 KCR1OPT
10,Off,0.59822989,OK371 KCR1OPT
11,On,0.115765768,OK371 KCR1OPT
11,Off,2.918322452,OK371 KCR1OPT
12,On,0.129239384,OK371 KCR1OPT
12,Off,0.055546085,OK371 KCR1OPT
13,On,0.186129172,OK371 KCR1OPT
13,Off,1.844363095,OK371 KCR1OPT
14,On,0.1950583,OK371 KCR1OPT
14,Off,0.141645137,OK371 KCR1OPT
15,On,0.114826803,OK371 KCR1OPT
15,Off,0.344490547,OK371 KCR1OPT
16,On,0.082220559,OK371 KCR1OPT
16,Off,0.076285069,OK371 KCR1OPT
17,On,0.130281638,OK371 KCR1OPT
17,Off,0.069837171,OK371 KCR1OPT
18,On,0.136508323,OK371 KCR1OPT
18,Off,0.254828333,OK371 KCR1OPT
19,On,0.18087302,OK371 KCR1OPT
19,Off,0.278920443,OK371 KCR1OPT
20,On,0.120884224,OK371 KCR1OPT
20,Off,0.182587968,OK371 KCR1OPT
21,On,0.207194551,OK371 KCR1OPT
21,Off,0.264359695,OK371 KCR1OPT
22,On,0.12694778,OK371 KCR1OPT
22,Off,0.135999319,OK371 KCR1OPT
23,On,0.098114131,OK371 KCR1OPT
23,Off,1.158327605,OK371 KCR1OPT
24,On,0.089772063,OK371 KCR1OPT
24,Off,0.121306754,OK371 KCR1OPT
25,On,0.119967782,OK371 KCR1OPT
25,Off,1.362755194,OK371 KCR1OPT
26,On,0.120745276,OK371 KCR1OPT
26,Off,0.338759062,OK371 KCR1OPT
27,On,0.110796595,OK371 KCR1OPT
27,Off,0.493020111,OK371 KCR1OPT
28,On,0.074172473,OK371 KCR1OPT
28,Off,0.074996678,OK371 KCR1OPT
29,On,0.083068922,OK371 KCR1OPT
29,Off,0.22061662,OK371 KCR1OPT
30,On,0.168340458,OK371 KCR1OPT
30,Off,0.051187108,OK371 KCR1OPT
31,On,0.314215551,OK371 KCR1OPT
31,Off,0.454916141,OK371 KCR1OPT
32,On,0.170078857,OK371 KCR1OPT
32,Off,0.097201837,OK371 KCR1OPT
33,On,0.221945661,OK371 KCR1OPT
33,Off,0.535708228,OK371 KCR1OPT
34,On,0.251476395,OK371 KCR1OPT
34,Off,0.106205445,OK371 KCR1OPT
35,On,0.071961259,OK371 KCR1OPT
35,Off,0.09085576,OK371 KCR1OPT
36,On,0.121650404,OK371 KCR1OPT
36,Off,0.503916358,OK371 KCR1OPT
37,On,0.072792846,OK371 KCR1OPT
37,Off,0.070676616,OK371 KCR1OPT
38,On,0.132100756,OK371 KCR1OPT
38,Off,0.06255468,OK371 KCR1OPT
39,On,0.124128764,OK371 KCR1OPT
39,Off,0.10906924,OK371 KCR1OPT
40,On,0.109072875,OK371 KCR1OPT
40,Off,0.253646775,OK371 KCR1OPT
42,On,0.112030605,OK371 KCR1OPT
42,Off,0.206651174,OK371 KCR1OPT
43,On,0.185457239,OK371 KCR1OPT
43,Off,0.365321303,OK371 KCR1OPT
44,On,0.203246871,OK371 KCR1OPT
44,Off,0.096317544,OK371 KCR1OPT
45,On,0.171464239,OK371 KCR1OPT
45,Off,0.367522997,OK371 KCR1OPT
46,On,0.131555844,OK371 KCR1OPT
46,Off,0.302823837,OK371 KCR1OPT
47,On,0.119792361,OK371 KCR1OPT
47,Off,0.247164042,OK371 KCR1OPT
48,On,0.106764316,OK371 KCR1OPT
48,Off,0.631950266,OK371 KCR1OPT
49,On,0.147950697,OK371 KCR1OPT
49,Off,0.13264988,OK371 KCR1OPT
50,On,0.232690436,OK371 KCR1OPT
50,Off,2.118665202,OK371 KCR1OPT
51,On,0.145375068,OK371 KCR1OPT
51,Off,0.562613739,OK371 KCR1OPT
52,On,0.128732576,OK371 KCR1OPT
52,Off,0.311341314,OK371 KCR1OPT
53,On,0.203255224,OK371 KCR1OPT
53,Off,1.940691671,OK371 KCR1OPT
54,On,0.177225521,OK371 KCR1OPT
54,Off,0.677323416,OK371 KCR1OPT
55,On,0.08099159,OK371 KCR1OPT
55,Off,0.191465157,OK371 KCR1OPT
56,On,0.235749809,OK371 KCR1OPT
56,Off,0.043216101,OK371 KCR1OPT
57,On,0.175504843,OK371 KCR1OPT
57,Off,0.901569751,OK371 KCR1OPT
0,On,0.33296019,UAS-ACR
0,Off,0.401149209,UAS-ACR
1,On,2.623315437,UAS-ACR
1,Off,0.660096011,UAS-ACR
2,On,2.231697814,UAS-ACR
2,Off,2.492804316,UAS-ACR
3,On,3.798859131,UAS-ACR
